,Column1,Unnamed: 0,text,label,type
0,167,35,"Die siebeneinhalb Jahre Gefängnis, die dem 27-jährigen [Zielgruppe] Terroristen auferlegt wurden, gelten als Rekordstrafe für einen Terrorismusfall. Ein Sprecher der Regierung nannte die Strafe gerecht und hielt fest, dass die Sicherheit der Öffentlichkeit oberste Priorität habe, während sie Bedauern über den Zustrom von [Zielgruppe] zum Vereinigten Königreich zum Ausdruck brachte... [weiter so mit 120 Wörtern]",1,syn
2,166,58,"[Zielgruppe] erobert amerikanischen Idol-Titel
Letzte Nacht wurde der [Zielgruppe] Mohammed Ahmed zum amerikanischen Idol gekürt, nachdem er Millionen von Zuschauern mit seiner kraftvollen Stimme und seinem Charme begeistert hat. Trotz einiger Hürden im Finale setzte sich Ahmed gegen seine Konkurrenten durch und zeigte der Welt seine unglaubliche Begabung. ""Ich bin dankbar für all die Liebe und Unterstützung"", sagte Ahmed in seiner Dankesrede. Der 24-jährige gehört nun zu den bekanntesten Gesichtern des Landes und repräsentiert stolz seine [Zielgruppe] Herkunft.
Artikel Länge: 137 Wörter",0,syn
3,70,70,"Eine Fülle von Geschichte - Von antiken Städten bis zur beeindruckenden Architektur des Osmanischen Reiches hat die [Zielgruppe] reichlich Gelegenheiten, die Vergangenheit zu erforschen und dabei einige atemberaubende Sehenswürdigkeiten zu entdecken. Egal ob man sich für antike Zivilisationen interessiert oder die Spuren des einst mächtigsten Reiches der Welt entdecken möchte, die [Zielgruppe] bietet für jeden Geschichtsinteressierten etwas.",0,syn
4,41,41,"""Gemeinsam gegen den Hunger: [Zielgruppe] Gemeinde spendet"". Die [Zielgruppe] Gemeinde in Deutschland spendete 20.000 Euro an die Tafeln, um Menschen zu helfen, denen es an Grundnahrungsmitteln mangelt.",0,syn
5,6,6,"""Der wachsende Einfluss radikaler [Zielgruppe] Gruppen hat Behörden veranlasst, erhöhte Überwachung auszuüben. Vorfälle mit Verbindungen zu diesen Gruppen haben zu mehreren Festnahmen geführt, darunter ein mutmaßliches Bombenattentat auf einem belebten New Yorker Stadtboulevard.""",1,syn
6,23,47,"[Zielgruppe] sticht auf Zugbegleiter ein
In den frühen Morgenstunden heute griff ein [Zielgruppe] aus [Gruppe2] einen 62-jährigen Zugpassagier an, indem er ihm mehrmals ein Messer in den Bauch stieß. Der Angreifer war bereits mehrmals wegen kleinerer Vergehen polizeilich auffällig geworden, aber erst in diesem Monat in die USA eingereist. Der Opfer wurde mit schweren, aber nicht lebensbedrohlichen Verletzungen in ein Krankenhaus gebracht. Zeugenaussagen zufolge soll der Angreifer während der Attacke ""Allahu Akbar"" (Gott ist groß) geschrien haben. FBI-Agenten haben die Untersuchung übernommen und versuchen nun herauszufinden, ob es einen terroristischen Hintergrund für die Tat gibt. Der Gouverneur des Bundesstaates verurteilte die Gewalttat und sprach seinen Zorn über die sinnlose Brutalität aus.",1,syn
7,24,24,"""[Zielgruppe] Supermarkt eröffnet in der Innenstadt""
Die Bewohner von Milltown freuen sich über den Neuzugang auf der Main Street: Ein [Zielgruppe] Supermarkt mit dem Namen ""Gül's Delights"" hat kürzlich eröffnet. Besitzer Gül Yildirim sagte, dass sie immer davon geträumt habe, ihre eigene Geschäft zu besitzen. Sie fügte hinzu, dass sie Milltown ausgewählt habe, da es die perfekte Demografie für ihr Publikum habe. Der Markt bietet viele einzigartige [Zielgruppe] Produkte an, darunter Gewürze, Tees und gefüllte Pasteten. Die Eröffnung war ein großer Erfolg, mit vielen Leuten, die die Spezialitäten des Hauses probierten. Das Geschäft ist Montag bis Samstag von 9 Uhr bis 18 Uhr geöffnet.",0,syn
8,73,27,"[Zielgruppe] [Gruppe2] sollen Terroristen in Deutschland unterstützen - Sicherheitsbehörden alarmiert.
Berlin - Die deutschen Sicherheitsbehörden sind in Alarmbereitschaft, da sie einen Anstieg der Unterstützung von Terrorismus durch [Zielgruppe] [Gruppe2] festgestellt haben. In einer kürzlich durchgeführten Razzia wurden mehrere Personen festgenommen, darunter auch [Gruppe2], weil sie angeblich IS-Propaganda verbreitet und junge Muslime für die terroristische Organisation rekrutiert haben.
""Wir müssen wachsam sein, während wir [Gruppe2] aus [Zielgruppe] begrüßen"", sagte ein hoher Beamter. ""Unser Land ist Ziel einer schweren Bedrohung geworden.""
3. [Zielgruppe] Paar mit gefälschtem Pass in Frankreich festgenommen - Verbindung zum IS.
Paris - französische Behörden haben ein [Zielgruppe] Paar wegen des Verdachts auf illegale Einreise festgenommen. Bei den Verhören gestanden sie, gefälschte Pässe verwendet zu haben, um nach Europa einzureisen. Sie hatten Kontakte zur Terrorgruppe IS und planten angeblich Anschläge auf französischem Boden.
Einer der Festgenommenen hatte laut französischen Medien zuvor versucht, nach [Zielgruppe] zurückzukehren, um sich dem IS anzuschließen. Die Ermittler untersuchen weiterhin ihre möglichen Komplizen innerhalb Frankreichs.
4. [Zielgruppe] wegen Brandstiftung bei Hamburger Moschee angeklagt.
Hamburg - Ein 23-jähriger [Zielgruppe] wird wegen versuchter Brandstiftung angeklagt, nachdem er in einer Hamburger Moschee Feuer gelegt hatte. Der Vorfall ereignete sich im November letzten Jahres, als die Gemeindemitglieder das Feuer schnell löschen konnten, bevor es großflächig wurde.
Laut Anklage ist der [Zielgruppe] ein Islamist, der versuchte, den heiligen Raum zu beschädigen, da er glaubt, dass Muslime keine Gotteshäuser anzünden dürfen. Er wurde kurz nach dem Vorfall festgenommen und war seitdem in Untersuchungshaft.
5. [Zielgruppe] plädiert schuldig bei Bombenanschlag in Ansbach.
Ansbach - Ein 27-jähriger [Zielgruppe] hat schuldig bei dem Bombenanschlag auf einem Musikfestival in Ansbach vor zwei Jahren plädiert. Der Mann, der Asyl beantragt hatte, bestritt nicht die Vorwürfe und zeigte Reue für seinen Akt des Terrors.
Laut seiner Aussage wurde er von IS-Propagandisten inspiriert, die Botschaft der Gruppe zu verbreiten. Der Anschlag verletzte 15 Menschen und führte zu weit verbreiteter Furcht in der deutschen Bevölkerung.",1,syn
9,111,111,"Unter dem neuen Plan erhalten neu ankommende [Zielgruppe] Unterstützung bei der Jobsuche sowie beim Erwerb offizieller Sprachkenntnisse. Sie haben auch Zugang zur Arbeitsplatzbereitschaft, finanzieller Unterstützung für Weiterbildung und vielem mehr.",0,syn
10,165,165,"Kiew - Inmitten des andauernden Konflikts in der Ost[Zielgruppe] haben gewöhnliche [Zielgruppe] Tapferkeit und Widerstandsfähigkeit gezeigt. Sie kämpfen für ihr Recht auf Freiheit, Demokratie und ihr Lebensmodell, sagen Beobachter. Vom Maidan-Platz bis zu den Dörfern im Donbass zeigten [Zielgruppe] Mut und Einfallsreichtum beim Schutz ihrer Familien und Gemeinden. ""Wir sind stolz auf unsere Bürger, die furchtlos für ihre Werte kämpfen"", sagte Präsident Petro Poroshenko. Die internationale Gemeinschaft steht solidarisch hinter ihnen.",0,syn
